Provincia,Comune,Grado Scolastico,Descrizione Scuola,Cod Sede,Cod Scuola,Denominazione Scuola,Indirizzo e n. civico,C.A.P.,Comunita Collinare,Comunita Montana
AL,BASALUZZO,3,SCUOLA SEC. I GRADO,60011118,ALMM08602D,DI BASALUZZO,VIA NUOVA 1,15060,,
AL,BASSIGNANA,1,SCUOLA D'INFANZIA,60011119,ALAA037013, F. LUNATI,VIA DELLA VITTORIA 19,15042,,
AL,BASSIGNANA,2,SCUOLA PRIMARIA,60011120,ALEE037018,P. DE MARZIANI,VIA CAVOUR 10,15042,,
AL,BERGAMASCO,1,SCUOLA D'INFANZIA,60011121,ALAA816022,DI BERGAMASCO,VIA F. CAVALLOTTI 15,15022,,
AL,BERGAMASCO,2,SCUOLA PRIMARIA,60011122,ALEE816038,DE AMICIS,PIAZZA DELLA REPUBBLICA 18,15022,,
AL,BISTAGNO,1,SCUOLA D'INFANZIA,60011123,ALAA810012,DI BISTAGNO,VIA 8 MARZO 15,15012,,ALTA VALLE ORBA VALLE ERRO E BORMIDA DI SPIGNO
AL,BISTAGNO,2,SCUOLA PRIMARIA,60011124,ALEE810017,G. MONTEVERDE,VIA 8 MARZO 11,15012,,ALTA VALLE ORBA VALLE ERRO E BORMIDA DI SPIGNO
AL,BISTAGNO,3,SCUOLA SEC. I GRADO,60011125,ALMM810027,G. SARACCO,VIA 8 MARZO 13,15012,,ALTA VALLE ORBA VALLE ERRO E BORMIDA DI SPIGNO
AL,BORGHETTO DI BORBERA,1,SCUOLA D'INFANZIA,60011126,ALAA80501E,DON PIO BRUNO,VIA ROMA 220,15060,,VAL BORBERA E VALLE SPINTI
AL,BORGHETTO DI BORBERA,2,SCUOLA PRIMARIA,60011127,ALEE80502R,DON PIO BRUNO,VIA ROMA 220,15060,,VAL BORBERA E VALLE SPINTI
AL,BORGORATTO ALESSANDRINO,2,SCUOLA PRIMARIA,60011128,ALEE81503C,G. MAZZINI,PIAZZA ROMA 5,15013,,
AL,BORGO SAN MARTINO,1,SCUOLA D'INFANZIA,60011129,ALAA822029,C.COLLODI,VIALE DON BOSCO 1,15032,,
AL,BORGO SAN MARTINO,2,SCUOLA PRIMARIA,60011130,ALEE82202E,DON BOSCO,VIALE DON BOSCO 1,15032,,
AL,BOSCO MARENGO,1,SCUOLA D'INFANZIA,60011131,ALAA816033,DI BOSCO MARENGO,VIA GHIARE 1,15062,,
AL,BOSCO MARENGO,2,SCUOLA PRIMARIA,60011132,ALEE816049,PIO BOGGIANI,VIA GHIARE 1,15062,,
AL,BOSCO MARENGO,3,SCUOLA SEC. I GRADO,60011133,ALMM816037,E. VERDE,VIA BORGATA DONNA 4,15062,,
AL,BOSIO,1,SCUOLA D'INFANZIA,60011134,ALAA80601A,SAN GIOVANNI BOSCO,VIA UMBERTO I,15060,,ALTA VAL LEMME ED ALTO OVADESE
AL,BOSIO,2,SCUOLA PRIMARIA,60011135,ALEE80603N,DANTE ALIGHIERI,VIA UMBERTO I 50,15060,,ALTA VAL LEMME ED ALTO OVADESE
AL,CAPRIATA D'ORBA,1,SCUOLA D'INFANZIA,60011136,ALAA80603C,SAN ROCCO,VIA SAN ROCCO 1,15060,,
AL,CAPRIATA D'ORBA,2,SCUOLA PRIMARIA,60011137,ALEE80601G,CADUTI PER LA PATRIA,VIA CARA 11,15060,,
AL,CAPRIATA D'ORBA,3,SCUOLA SEC. I GRADO,60011138,ALMM80602G,GIOVANNI XXIII,VIA BRIZZOLESI 1,15060,,
AL,CARBONARA SCRIVIA,1,SCUOLA D'INFANZIA,60011139,ALAA03303T,.,VIA TITO CARBONE 26,15050,COLLI TORTONESI,
AL,CARBONARA SCRIVIA,2,SCUOLA PRIMARIA,60011140,ALEE033011,DOMENICO CARBONE,PIAZZA MONS. GOGGI 1,15050,COLLI TORTONESI,
AL,CARPENETO,1,SCUOLA D'INFANZIA,60011141,AL1A013003,EDOARDO GARRONE,VIA G. GUALCO 65,15071,UNIONE DEI CASTELLI TRA L'ORBA E LA BORMIDA,
AL,CARPENETO,2,SCUOLA PRIMARIA,60011142,ALEE809046,SILVIO PELLICO,VIA GUALCO 9,15071,UNIONE DEI CASTELLI TRA L'ORBA E LA BORMIDA,
AL,CARROSIO,2,SCUOLA PRIMARIA,60011143,ALEE80607T,DOTTOR FELICE COSTA,VIALE RIMEMBRANZA,15060,,ALTA VAL LEMME ED ALTO OVADESE
AL,CARTOSIO,1,SCUOLA D'INFANZIA,60011144,ALAA011086,STRADA PUSA,STRADA PUSA 1,15015,,ALTA VALLE ORBA VALLE ERRO E BORMIDA DI SPIGNO
AL,CARTOSIO,2,SCUOLA PRIMARIA,60011145,ALEE011036,L.DA VINCI,VIALE PAPA GIOVANNI XXIII 8,15015,,ALTA VALLE ORBA VALLE ERRO E BORMIDA DI SPIGNO
AL,CASALE MONFERRATO,1,SCUOLA D'INFANZIA,60011146,AL1A01400V,SACRO CUORE,VIALE OTTAVIO MARCHINO 131,15033,,
AL,CASALE MONFERRATO,1,SCUOLA D'INFANZIA,60011147,ALAA01405E,MARTIRI DELLA LIBERTA',VIA GALEOTTO DEL CARRETTO 3,15033,,
AL,CASALE MONFERRATO,1,SCUOLA D'INFANZIA,60011148,ALAA82401X,IL PICCOLO PRINCIPE,VIA FACINO CANE 27,15033,,
AL,CASALE MONFERRATO,1,SCUOLA D'INFANZIA,60011149,ALAA01409P,LORENZO DA BISTAGNO,CANTONE CHIESA 34/C,15033,,
AL,CASALE MONFERRATO,1,SCUOLA D'INFANZIA,60011150,ALAA016089,PETER PAN,PIAZZALE DUCA D'AOSTA 4,15033,,
AL,CASALE MONFERRATO,1,SCUOLA D'INFANZIA,60011151,ALAA017063,VENESIO,VIA PIACIBELLO 2,15033,,
AL,CASALE MONFERRATO,1,SCUOLA D'INFANZIA,60011152,ALAA016078,DI VIA ROSSELLI,VIA ROSSELLI 30,15033,,
AL,CASALE MONFERRATO,1,SCUOLA D'INFANZIA,60011153,ALAA017074,WALT DISNEY,CANTONE CHIESA 104/B,15033,,
AL,CASALE MONFERRATO,1,SCUOLA D'INFANZIA,60011154,ALAA01609A,GIANNI RODARI,STRADA ALESSANDRIA 61,15033,,
AL,CASALE MONFERRATO,2,SCUOLA PRIMARIA,60011155,ALEE01402L,MARTIRI DELLA LIBERTA',VIA GALEOTTO DEL CARRETTO 3,15033,,
AL,CASALE MONFERRATO,2,SCUOLA PRIMARIA,60011156,ALEE017035,G. VERNE,FRAZIONE POPOLO 104/A,15033,,
AL,CASALE MONFERRATO,2,SCUOLA PRIMARIA,60011157,ALEE824015,SAN PAOLO,VIA CAVOUR 46,15033,,
AL,CASALE MONFERRATO,2,SCUOLA PRIMARIA,60011158,ALEE01403N,DI SANTA MARIA DEL TEMPIO,CANTONE CHIESA 12,15033,,
AL,CASALE MONFERRATO,2,SCUOLA PRIMARIA,60011159,ALEE016028,LEONARDO BISTOLFI,VIA CANDIDO POGGIO 41,15033,,
AL,CASALE MONFERRATO,2,SCUOLA PRIMARIA,60011160,ALEE016017,IV NOVEMBRE,PIAZZALE DUCA D'AOSTA 4,15033,,
AL,CASALE MONFERRATO,2,SCUOLA PRIMARIA,60011161,ALEE01604A,PLESSO CHIESA,PIAZZA CHIESA 62,15030,,
AL,CASALE MONFERRATO,2,SCUOLA PRIMARIA,60011162,AL1E004006,MARGHERITA BOSCO,VIALE MARCHINO 131,15033,,
AL,CASALE MONFERRATO,2,SCUOLA PRIMARIA,60011163,ALEE017024,XXV APRILE,VIA ITALO ROSSI 3,15033,,
AL,CASALE MONFERRATO,3,SCUOLA SEC. I GRADO,60011164,ALMM824014,LEARDI,VIA GONZAGA 52,15033,,
AL,CASALE MONFERRATO,3,SCUOLA SEC. I GRADO,60011165,ALMM08900V,D.ALIGHIERI,CORSO GIUSEPPE VERDI 6,15033,,
AL,CASALE MONFERRATO,3,SCUOLA SEC. I GRADO,60011166,ALMM08900V,A. TREVIGI,VIA TREVIGI 16,15033,,
AL,CASALE MONFERRATO,3,SCUOLA SEC. I GRADO,60011167,AL1M00400B,SACRO CUORE,VIALE OTTAVIO MARCHINO 131,15033,,
AL,CASALE MONFERRATO,4,EX ISTITUTO E SCUOLA MAGISTRALE,60011168,ALPC00901C,CESARE BALBO,VIA VERCELLI 1,15033,,
AL,CASALE MONFERRATO,4,IST. PROF. SERV. COMM. TURIS. PUBBL.,60011169,ALRC01301Q,R. JAFFE,VIA LEARDI 1,15033,,
AL,CASALE MONFERRATO,4,IST. PROF. SERVIZI ALBERGHIERI,60011170,ALRH01500G,ARTUSI,VIA DON BOSCO 1,15033,,
AL,CASALE MONFERRATO,4,IST. TECNICO COMMERCIALE,60011171,ALTD013013,LEARDI,VIA LEARDI 1,15033,,
AL,CASALE MONFERRATO,4,IST. TECNICO PER GEOMETRI,60011172,ALTD013013,LEARDI,VIA LEARDI 1,15033,,
AL,CASALE MONFERRATO,4,IST. TECNICO PER IL TURISMO,60011173,ALTN013011,LEARDI,VIA LEARDI 1,15033,,
